C1;C2;C3;C4;C5;C6
Drinks;Hot drinks;Tea;Tea Bags (Black);Black;
Drinks;Hot drinks;Tea;Tea Bags (Green/ herbal/ Fruit);Green;
Drinks;Hot drinks;Tea;Tea Bags (Green/ herbal/ Fruit);Herbal;
Drinks;Hot drinks;Tea;Tea Bags (Green/ herbal/ Fruit);Fruit;
Drinks;Hot drinks;Tea;Loose Leaf Tea;Black;
Drinks;Hot drinks;Tea;Loose Leaf Tea;Green;
Drinks;Hot drinks;Coffee;Coffee Pods;Standard;
Drinks;Hot drinks;Coffee;Coffee Pods;Flavoured;
Drinks;Hot drinks;Coffee;Instant Coffee;Standard;
Drinks;Hot drinks;Coffee;Instant Coffee;Flavoured;
Drinks;Hot drinks;Coffee;Ground Coffee Bags;Standard;
Drinks;Hot drinks;Coffee;Coffee Beans Bags;Standard;
Drinks;Hot drinks;Hot chocolate;Chocolate Powder;Chocolate;
Drinks;Hot drinks;Hot chocolate;Chocolate Powder;Flavoured Chocolate;
Drinks;Hot drinks;Hot chocolate;Malted Drinks;Malted;
Drinks;Soft drinks;Carbonated drinks;Cola;Standard;
Drinks;Soft drinks;Carbonated drinks;Cola;Diet;
Drinks;Soft drinks;Carbonated drinks;Cola;Zero;
Drinks;Soft drinks;Carbonated drinks;Cola;Flavoured;
Drinks;Soft drinks;Carbonated drinks;Fizzy;Lemon/ lime;
Drinks;Soft drinks;Carbonated drinks;Fizzy;Orange;
Drinks;Soft drinks;Carbonated drinks;Fizzy;Ginger Beer;
Drinks;Soft drinks;Carbonated drinks;Fizzy;Other Flavoured;
Drinks;Soft drinks;Juice & cordials;Juice;Orange;
Drinks;Soft drinks;Juice & cordials;Juice;Apple;
Drinks;Soft drinks;Juice & cordials;Juice;Tropical;
Drinks;Soft drinks;Juice & cordials;Juice;Coconut;
Drinks;Soft drinks;Juice & cordials;Smoothies;Berry;
Drinks;Soft drinks;Juice & cordials;Smoothies;Tropical;
Drinks;Soft drinks;Juice & cordials;Smoothies;Other  ;
Drinks;Soft drinks;Juice & cordials;Squash/ Cordials;Orange;
Drinks;Soft drinks;Juice & cordials;Squash/ Cordials;Berries;
Drinks;Soft drinks;Juice & cordials;Squash/ Cordials;Tropical;
Drinks;Soft drinks;Juice & cordials;Squash/ Cordials;Other;
Drinks;Soft drinks;Iced drinks;Iced Tea;Peach;
Drinks;Soft drinks;Iced drinks;Iced Tea;Lemon ;
Drinks;Soft drinks;Iced drinks;Iced Tea;Other;
Drinks;Soft drinks;Iced drinks;Iced Coffee;Standard;
Drinks;Soft drinks;Iced drinks;Iced Coffee;Flavoured;
Drinks;Soft drinks;Non alcoholic & mixers;Mixers ;Tonic;
Drinks;Soft drinks;Non alcoholic & mixers;Mixers ;Soda Water;
Drinks;Soft drinks;Non alcoholic & mixers;Mixers ;Other;
Drinks;Soft drinks;Non alcoholic & mixers;Alcohol Free;Alcohol Free Wine;
Drinks;Soft drinks;Non alcoholic & mixers;Alcohol Free;Alcohol Free Beer;
Drinks;Soft drinks;Non alcoholic & mixers;Alcohol Free;Alcohol Free Spirits;
Drinks;Soft drinks;Milk & alternatives;Ambient Dairy Milk;Whole;
Drinks;Soft drinks;Milk & alternatives;Ambient Dairy Milk;Semi skimmed;
Drinks;Soft drinks;Milk & alternatives;Ambient Dairy Milk;Skimmed;
Drinks;Soft drinks;Milk & alternatives;Plant Based Milks/ Drinks;Oat;
Drinks;Soft drinks;Milk & alternatives;Plant Based Milks/ Drinks;Soya;
Drinks;Soft drinks;Milk & alternatives;Plant Based Milks/ Drinks;Almond;
Drinks;Soft drinks;Milk & alternatives;Plant Based Milks/ Drinks;Other;
Drinks;Soft drinks;Milk & alternatives;Shakes;RTD;
Drinks;Soft drinks;Milk & alternatives;Shakes;Powders;
Drinks;Soft drinks;Water;Plain;Still;
Drinks;Soft drinks;Water;Plain;Sparkling;
Drinks;Soft drinks;Water;Flavoured;Still;
Drinks;Soft drinks;Water;Flavoured;Sparkling;
Food;Breakfast;Cereals;Everyday;Everyday;Cornflakes
Food;Breakfast;Cereals;Everyday;Everyday;Chocolate
Food;Breakfast;Cereals;Everyday;Everyday;Wheat
Food;Breakfast;Cereals;Everyday;Everyday;Hoops
Food;Breakfast;Cereals;Everyday;Everyday;Other flake
Food;Breakfast;Cereals;Granola/ Muesli;Granola/ Muesli;Fruit Granola
Food;Breakfast;Cereals;Granola/ Muesli;Granola/ Muesli;Chocolate Granola
Food;Breakfast;Cereals;Granola/ Muesli;Granola/ Muesli;Nut Granola
Food;Breakfast;Cereals;Granola/ Muesli;Granola/ Muesli;Muesli
Food;Breakfast;Cereals;Porridge;Porridge;Oats
Food;Breakfast;Cereals;Porridge;Porridge;Sachets
Food;Breakfast;On the go;On The Go;On The Go;Pots
Food;Breakfast;On the go;On The Go;On The Go;Breakfast Biscuits
Food;Snacks;Chips & savoury snacks;Chips;Potato Chips;Salted
Food;Snacks;Chips & savoury snacks;Chips;Potato Chips;Paprika
Food;Snacks;Chips & savoury snacks;Chips;Potato Chips;Cheese
Food;Snacks;Chips & savoury snacks;Chips;Potato Chips;Salt & Vinegar
Food;Snacks;Chips & savoury snacks;Chips;Potato Chips;Sour Cream
Food;Snacks;Chips & savoury snacks;Chips;Potato Chips;Other  
Food;Snacks;Chips & savoury snacks;Chips;Tortilla Chips;Salted
Food;Snacks;Chips & savoury snacks;Chips;Tortilla Chips;Flavoured
Food;Snacks;Chips & savoury snacks;Chips;Maize/ Corn snacks;Salted
Food;Snacks;Chips & savoury snacks;Chips;Maize/ Corn snacks;Paprika
Food;Snacks;Chips & savoury snacks;Chips;Maize/ Corn snacks;Cheese
